id,ticket_id,priority,status,category,subject,description,created_date,resolved_date,assigned_to,created_at
177,TCK-K6RE4Q6,Medium,Closed,Network,Email not syncing,Auto-generated support ticket for dashboard analytics.,2024-04-30,2024-05-11,alice,2024-04-30 16:59:09
178,TCK-QDY4LMC,Low,Resolved,Hardware,Software installation request,Auto-generated support ticket for dashboard analytics.,2024-04-25,2024-05-09,edward,2024-04-25 22:42:58
179,TCK-T64Z7W2,Medium,Closed,Hardware,Password reset required,Auto-generated support ticket for dashboard analytics.,2024-08-20,2024-08-26,irene,2024-08-20 07:45:36
180,TCK-SEHE2AT,Medium,In Progress,Security,Password reset required,Auto-generated support ticket for dashboard analytics.,2024-09-15,,george,2024-09-15 08:42:08
181,TCK-N2TWDL9,High,Resolved,Hardware,Slow system performance,Auto-generated support ticket for dashboard analytics.,2024-12-24,2024-12-27,george,2024-12-24 17:30:12
182,TCK-ZS13C9X,High,In Progress,Network,Software installation request,Auto-generated support ticket for dashboard analytics.,2024-07-16,,bob,2024-07-16 12:04:12
183,TCK-QYM52XG,Critical,Open,Access,VPN access failure,Auto-generated support ticket for dashboard analytics.,2024-05-16,,henry,2024-05-16 13:41:11
184,TCK-8P6BEFF,Medium,Resolved,Access,System crash on login,Auto-generated support ticket for dashboard analytics.,2024-11-13,2024-11-19,charlie,2024-11-13 07:28:31
185,TCK-LZM764J,Low,Resolved,Security,Application timeout error,Auto-generated support ticket for dashboard analytics.,2024-06-13,2024-06-19,henry,2024-06-13 14:34:29
186,TCK-WTEKTSG,Medium,In Progress,Network,Software installation request,Auto-generated support ticket for dashboard analytics.,2024-08-12,,charlie,2024-08-12 06:42:29
187,TCK-7FXZV4U,High,Resolved,Network,Email not syncing,Auto-generated support ticket for dashboard analytics.,2024-11-02,2024-11-06,george,2024-11-02 00:14:41
188,TCK-3BBXUX1,Medium,Closed,Hardware,Printer not responding,Auto-generated support ticket for dashboard analytics.,2024-08-21,2024-09-01,bob,2024-08-21 13:12:35
189,TCK-OXRWK8R,Low,Resolved,Network,Email not syncing,Auto-generated support ticket for dashboard analytics.,2024-06-20,2024-06-25,diana,2024-06-20 00:21:36
190,TCK-2YKCCPR,Medium,Resolved,Software,System crash on login,Auto-generated support ticket for dashboard analytics.,2024-05-31,2024-06-12,fatima,2024-05-31 02:41:04
191,TCK-HVLZ049,Low,Resolved,Hardware,Software installation request,Auto-generated support ticket for dashboard analytics.,2024-11-10,2024-11-21,irene,2024-11-10 13:01:48
192,TCK-ENULQJI,High,Closed,Software,Email not syncing,Auto-generated support ticket for dashboard analytics.,2024-06-08,2024-06-19,edward,2024-06-08 01:05:34
193,TCK-DKNWI5F,High,Resolved,Security,Email not syncing,Auto-generated support ticket for dashboard analytics.,2024-04-05,2024-04-07,irene,2024-04-05 20:11:44
194,TCK-LUL1RSR,Low,Resolved,Access,VPN access failure,Auto-generated support ticket for dashboard analytics.,2024-08-20,2024-08-30,edward,2024-08-20 04:11:38
195,TCK-LA8S8HM,Medium,Closed,Security,VPN access failure,Auto-generated support ticket for dashboard analytics.,2024-06-28,2024-07-09,henry,2024-06-28 05:11:04
196,TCK-BR5XQT4,High,Closed,Access,Software installation request,Auto-generated support ticket for dashboard analytics.,2024-04-22,2024-04-25,alice,2024-04-22 10:34:46
197,TCK-P501NOU,Medium,Open,Security,System crash on login,Auto-generated support ticket for dashboard analytics.,2024-11-13,,george,2024-11-13 16:02:05
198,TCK-HTCS1K9,Low,In Progress,Network,Password reset required,Auto-generated support ticket for dashboard analytics.,2024-02-21,,diana,2024-02-21 07:04:40
199,TCK-YE9O2M7,Medium,In Progress,Software,Network outage on floor 3,Auto-generated support ticket for dashboard analytics.,2024-09-24,,edward,2024-09-24 22:59:10
200,TCK-1HSSBEL,Medium,Open,Access,Laptop overheating,Auto-generated support ticket for dashboard analytics.,2024-10-21,,fatima,2024-10-21 21:19:27
201,TCK-RQVSLWF,Medium,Resolved,Hardware,Application timeout error,Auto-generated support ticket for dashboard analytics.,2024-04-22,2024-05-01,edward,2024-04-22 13:06:14
202,TCK-90KM3TZ,Medium,Resolved,Software,Laptop overheating,Auto-generated support ticket for dashboard analytics.,2024-04-10,2024-04-22,alice,2024-04-10 01:35:54
203,TCK-K3NY9V2,Medium,Resolved,Hardware,Slow system performance,Auto-generated support ticket for dashboard analytics.,2024-04-22,2024-04-26,irene,2024-04-22 01:04:50
204,TCK-0YAR821,Low,Open,Software,VPN access failure,Auto-generated support ticket for dashboard analytics.,2024-03-21,,bob,2024-03-21 07:14:59
205,TCK-UZVGWW4,Low,Closed,Software,Software installation request,Auto-generated support ticket for dashboard analytics.,2024-07-05,2024-07-08,irene,2024-07-05 07:12:09
206,TCK-FYB8DAL,Low,Resolved,Security,Laptop overheating,Auto-generated support ticket for dashboard analytics.,2024-04-22,2024-04-30,bob,2024-04-22 10:20:37
207,TCK-FYO1750,Critical,Resolved,Access,System crash on login,Auto-generated support ticket for dashboard analytics.,2024-01-02,2024-01-09,irene,2024-01-02 06:20:25
208,TCK-CEHLXSL,Medium,Closed,Access,Application timeout error,Auto-generated support ticket for dashboard analytics.,2024-05-09,2024-05-14,fatima,2024-05-09 07:58:17
209,TCK-G6MM1ZX,Low,Resolved,Software,Laptop overheating,Auto-generated support ticket for dashboard analytics.,2024-08-07,2024-08-18,irene,2024-08-07 09:32:20
210,TCK-YVGIUI9,Medium,In Progress,Network,Application timeout error,Auto-generated support ticket for dashboard analytics.,2024-02-23,,fatima,2024-02-23 06:20:43
211,TCK-KKHZLM7,Low,Resolved,Network,Printer not responding,Auto-generated support ticket for dashboard analytics.,2024-12-08,2024-12-20,fatima,2024-12-08 12:22:20
212,TCK-2JEYN93,Low,In Progress,Hardware,System crash on login,Auto-generated support ticket for dashboard analytics.,2024-08-11,,bob,2024-08-11 20:11:20
213,TCK-82KKZMP,Medium,Open,Hardware,Network outage on floor 3,Auto-generated support ticket for dashboard analytics.,2024-08-12,,henry,2024-08-12 08:57:19
214,TCK-JRHT7ZE,Medium,Resolved,Security,Email not syncing,Auto-generated support ticket for dashboard analytics.,2024-05-05,2024-05-14,charlie,2024-05-05 06:30:01
215,TCK-WVIYTWB,High,In Progress,Software,Application timeout error,Auto-generated support ticket for dashboard analytics.,2024-05-09,,george,2024-05-09 07:08:08
216,TCK-OZD1AT7,Medium,Resolved,Hardware,System crash on login,Auto-generated support ticket for dashboard analytics.,2024-02-22,2024-02-26,edward,2024-02-22 00:46:57
217,TCK-O75RH8L,Medium,In Progress,Hardware,Application timeout error,Auto-generated support ticket for dashboard analytics.,2024-06-20,,charlie,2024-06-20 06:24:38
218,TCK-X6DUT07,Low,Closed,Software,Application timeout error,Auto-generated support ticket for dashboard analytics.,2024-08-05,2024-08-16,alice,2024-08-05 09:31:53
219,TCK-6G5G79O,High,Open,Security,Password reset required,Auto-generated support ticket for dashboard analytics.,2024-06-08,,henry,2024-06-08 03:41:03
220,TCK-R7875AU,High,Closed,Hardware,Password reset required,Auto-generated support ticket for dashboard analytics.,2024-07-16,2024-07-22,charlie,2024-07-16 00:45:51
221,TCK-D9K9TR7,Medium,Resolved,Security,System crash on login,Auto-generated support ticket for dashboard analytics.,2024-09-03,2024-09-17,bob,2024-09-03 04:59:48
222,TCK-4QGEFQJ,Critical,Open,Access,Password reset required,Auto-generated support ticket for dashboard analytics.,2024-11-19,,alice,2024-11-19 13:47:46
223,TCK-G02U1G4,High,Resolved,Security,Slow system performance,Auto-generated support ticket for dashboard analytics.,2024-07-21,2024-08-03,diana,2024-07-21 23:50:35
224,TCK-63SDYGF,Critical,Closed,Network,Network outage on floor 3,Auto-generated support ticket for dashboard analytics.,2024-07-02,2024-07-15,henry,2024-07-02 04:02:24
225,TCK-LIJI18K,High,In Progress,Network,Software installation request,Auto-generated support ticket for dashboard analytics.,2024-05-02,,charlie,2024-05-02 12:19:12
226,TCK-0AXYCEL,High,Open,Security,System crash on login,Auto-generated support ticket for dashboard analytics.,2024-09-11,,alice,2024-09-11 07:39:16
227,TCK-OS6ZLE6,Medium,In Progress,Network,System crash on login,Auto-generated support ticket for dashboard analytics.,2024-10-20,,diana,2024-10-20 11:06:26
228,TCK-KWHEF0V,Medium,Resolved,Access,Slow system performance,Auto-generated support ticket for dashboard analytics.,2024-10-06,2024-10-07,irene,2024-10-06 16:36:35
229,TCK-OTQTXHI,Low,Resolved,Software,VPN access failure,Auto-generated support ticket for dashboard analytics.,2024-11-20,2024-11-24,alice,2024-11-20 08:44:36
230,TCK-15CQZCU,Medium,Resolved,Network,VPN access failure,Auto-generated support ticket for dashboard analytics.,2024-04-07,2024-04-21,bob,2024-04-07 13:27:29
231,TCK-CTSUFLS,Medium,In Progress,Network,Password reset required,Auto-generated support ticket for dashboard analytics.,2024-07-16,,irene,2024-07-16 13:33:24
232,TCK-EHUDS3Q,High,Open,Security,Software installation request,Auto-generated support ticket for dashboard analytics.,2024-08-27,,bob,2024-08-27 06:14:20
233,TCK-SQCQ30O,High,Resolved,Access,Password reset required,Auto-generated support ticket for dashboard analytics.,2024-05-23,2024-05-24,charlie,2024-05-23 19:11:05
234,TCK-30UBMC9,Medium,In Progress,Software,Printer not responding,Auto-generated support ticket for dashboard analytics.,2024-04-06,,george,2024-04-06 22:41:24
235,TCK-7C7BO11,Critical,Open,Security,Printer not responding,Auto-generated support ticket for dashboard analytics.,2024-07-19,,charlie,2024-07-19 15:47:28
236,TCK-9XP9N56,Medium,Closed,Security,Email not syncing,Auto-generated support ticket for dashboard analytics.,2024-05-03,2024-05-16,irene,2024-05-03 02:22:49
237,TCK-NYXTXMG,Medium,Resolved,Access,Printer not responding,Auto-generated support ticket for dashboard analytics.,2024-07-05,2024-07-11,fatima,2024-07-05 04:18:51
238,TCK-TT0IAAK,Medium,Resolved,Software,VPN access failure,Auto-generated support ticket for dashboard analytics.,2024-11-21,2024-11-28,charlie,2024-11-21 05:15:31
239,TCK-YTT3IMJ,Critical,Resolved,Access,Network outage on floor 3,Auto-generated support ticket for dashboard analytics.,2024-12-14,2024-12-19,irene,2024-12-14 04:45:43
240,TCK-70E3P15,High,Resolved,Software,Printer not responding,Auto-generated support ticket for dashboard analytics.,2024-09-15,2024-09-17,alice,2024-09-15 06:54:16
241,TCK-AHDBVZB,Medium,Resolved,Access,Password reset required,Auto-generated support ticket for dashboard analytics.,2024-05-27,2024-05-31,charlie,2024-05-27 06:58:44
242,TCK-0OIH5CS,High,In Progress,Security,Application timeout error,Auto-generated support ticket for dashboard analytics.,2024-09-08,,alice,2024-09-08 19:23:23
243,TCK-K30LVYL,Medium,Open,Security,System crash on login,Auto-generated support ticket for dashboard analytics.,2024-12-11,,bob,2024-12-11 13:46:10
244,TCK-KFXHKC8,Medium,In Progress,Hardware,Network outage on floor 3,Auto-generated support ticket for dashboard analytics.,2024-05-26,,henry,2024-05-26 13:37:34
245,TCK-56WPR97,Low,In Progress,Network,Network outage on floor 3,Auto-generated support ticket for dashboard analytics.,2024-05-27,,george,2024-05-27 11:34:34
246,TCK-Y2LOFN1,High,Resolved,Access,Password reset required,Auto-generated support ticket for dashboard analytics.,2024-12-17,2024-12-27,bob,2024-12-17 21:49:44
247,TCK-R4KZ36U,Low,Open,Hardware,System crash on login,Auto-generated support ticket for dashboard analytics.,2024-07-17,,bob,2024-07-17 15:38:20
248,TCK-8UEIHX7,Medium,Open,Network,VPN access failure,Auto-generated support ticket for dashboard analytics.,2024-11-03,,irene,2024-11-03 23:09:40
249,TCK-4D0GJYV,Medium,In Progress,Access,Network outage on floor 3,Auto-generated support ticket for dashboard analytics.,2024-05-07,,fatima,2024-05-07 08:54:13
250,TCK-5G10UR5,High,In Progress,Software,Email not syncing,Auto-generated support ticket for dashboard analytics.,2024-02-08,,edward,2024-02-08 01:40:54
251,TCK-L8A78E9,Medium,Resolved,Network,Password reset required,Auto-generated support ticket for dashboard analytics.,2024-12-03,2024-12-15,fatima,2024-12-03 22:25:44
252,TCK-RIVH6T1,High,In Progress,Security,Network outage on floor 3,Auto-generated support ticket for dashboard analytics.,2024-12-25,,irene,2024-12-25 21:23:01
253,TCK-NTMJSRD,Medium,Resolved,Hardware,Software installation request,Auto-generated support ticket for dashboard analytics.,2024-05-08,2024-05-14,george,2024-05-08 06:53:05
254,TCK-9Q46NOU,Critical,In Progress,Network,System crash on login,Auto-generated support ticket for dashboard analytics.,2024-09-23,,irene,2024-09-23 19:29:44
255,TCK-HFJ7UPF,Low,Resolved,Network,Printer not responding,Auto-generated support ticket for dashboard analytics.,2024-05-30,2024-06-03,diana,2024-05-30 10:42:39
256,TCK-LN4RXYJ,Low,Resolved,Security,Network outage on floor 3,Auto-generated support ticket for dashboard analytics.,2024-10-24,2024-11-04,bob,2024-10-24 05:24:32
257,TCK-38XRG2G,Medium,In Progress,Access,Password reset required,Auto-generated support ticket for dashboard analytics.,2024-04-08,,henry,2024-04-08 11:55:49
258,TCK-ZR7TXCB,High,Resolved,Software,Printer not responding,Auto-generated support ticket for dashboard analytics.,2024-09-19,2024-09-27,diana,2024-09-19 08:59:57
259,TCK-48Y1O4I,High,In Progress,Security,Email not syncing,Auto-generated support ticket for dashboard analytics.,2024-09-08,,irene,2024-09-08 01:56:20
260,TCK-ZASNWYW,Medium,In Progress,Software,Printer not responding,Auto-generated support ticket for dashboard analytics.,2024-05-23,,diana,2024-05-23 22:55:04
261,TCK-RRATATJ,Medium,Closed,Access,Software installation request,Auto-generated support ticket for dashboard analytics.,2024-12-11,2024-12-18,henry,2024-12-11 10:11:49
262,TCK-9A3Y36D,High,Open,Network,VPN access failure,Auto-generated support ticket for dashboard analytics.,2024-04-21,,irene,2024-04-21 04:36:15
263,TCK-DFGS3JO,Medium,Open,Software,Network outage on floor 3,Auto-generated support ticket for dashboard analytics.,2024-02-29,,irene,2024-02-29 18:30:19
264,TCK-NOU9IY4,Low,Resolved,Hardware,Laptop overheating,Auto-generated support ticket for dashboard analytics.,2024-01-02,2024-01-13,diana,2024-01-02 21:15:56
265,TCK-X41DNTC,Medium,Open,Hardware,Laptop overheating,Auto-generated support ticket for dashboard analytics.,2024-10-30,,alice,2024-10-30 17:48:12
266,TCK-AGRP2U4,Medium,Resolved,Security,Printer not responding,Auto-generated support ticket for dashboard analytics.,2024-09-10,2024-09-18,charlie,2024-09-10 07:37:05
267,TCK-DTBH55R,Low,In Progress,Access,Slow system performance,Auto-generated support ticket for dashboard analytics.,2024-05-19,,irene,2024-05-19 02:57:50
268,TCK-BC76UB7,High,Closed,Security,System crash on login,Auto-generated support ticket for dashboard analytics.,2024-02-06,2024-02-09,diana,2024-02-06 17:08:11
269,TCK-L8V1ZOC,Medium,Resolved,Security,Laptop overheating,Auto-generated support ticket for dashboard analytics.,2024-06-08,2024-06-13,edward,2024-06-08 22:23:14
270,TCK-FI4O6L1,Low,Resolved,Security,Slow system performance,Auto-generated support ticket for dashboard analytics.,2024-01-09,2024-01-12,george,2024-01-09 02:21:43
271,TCK-F90S9BP,High,Closed,Hardware,Laptop overheating,Auto-generated support ticket for dashboard analytics.,2024-08-20,2024-08-24,edward,2024-08-20 06:05:45
272,TCK-4M18O1B,Medium,In Progress,Hardware,Slow system performance,Auto-generated support ticket for dashboard analytics.,2024-04-08,,diana,2024-04-08 18:31:05
273,TCK-J9RM7PY,Medium,Closed,Security,System crash on login,Auto-generated support ticket for dashboard analytics.,2024-05-26,2024-06-07,bob,2024-05-26 14:07:51
274,TCK-XDW2ZCF,Medium,Open,Hardware,Application timeout error,Auto-generated support ticket for dashboard analytics.,2024-10-30,,bob,2024-10-30 23:29:10
275,TCK-ZW0LDAL,Medium,In Progress,Access,Laptop overheating,Auto-generated support ticket for dashboard analytics.,2024-07-26,,diana,2024-07-26 18:32:16
276,TCK-MJEGQTO,Low,In Progress,Security,Software installation request,Auto-generated support ticket for dashboard analytics.,2024-05-10,,irene,2024-05-10 13:37:35
277,TCK-AMDVLNK,Low,Resolved,Hardware,Network outage on floor 3,Auto-generated support ticket for dashboard analytics.,2024-05-31,2024-06-09,henry,2024-05-31 18:09:10
278,TCK-ND669UG,Critical,Open,Software,Slow system performance,Auto-generated support ticket for dashboard analytics.,2024-02-23,,charlie,2024-02-23 18:53:32
279,TCK-NEKRCPP,Low,Resolved,Security,Network outage on floor 3,Auto-generated support ticket for dashboard analytics.,2024-04-29,2024-05-08,irene,2024-04-29 16:54:12
280,TCK-RCJIWVH,High,Resolved,Security,Password reset required,Auto-generated support ticket for dashboard analytics.,2024-06-09,2024-06-14,edward,2024-06-09 06:31:01
281,TCK-DK8LW2L,Medium,Closed,Access,Password reset required,Auto-generated support ticket for dashboard analytics.,2024-04-25,2024-05-07,charlie,2024-04-25 11:43:02
282,TCK-M349EL8,Medium,Open,Network,System crash on login,Auto-generated support ticket for dashboard analytics.,2024-03-15,,edward,2024-03-15 13:36:45
283,TCK-HL88KZR,Medium,Resolved,Network,Slow system performance,Auto-generated support ticket for dashboard analytics.,2024-04-22,2024-05-02,diana,2024-04-22 19:07:55
284,TCK-UIN3OEU,Medium,In Progress,Access,Email not syncing,Auto-generated support ticket for dashboard analytics.,2024-04-13,,henry,2024-04-13 17:35:46
285,TCK-VTYT8QZ,Low,In Progress,Access,Password reset required,Auto-generated support ticket for dashboard analytics.,2024-12-05,,edward,2024-12-05 18:00:53
286,TCK-PKY32OR,Medium,In Progress,Access,System crash on login,Auto-generated support ticket for dashboard analytics.,2024-09-10,,henry,2024-09-10 17:14:56
287,TCK-WIXZ2C9,Medium,In Progress,Network,Password reset required,Auto-generated support ticket for dashboard analytics.,2024-08-14,,irene,2024-08-14 09:46:11
288,TCK-ROS7YT2,Critical,Resolved,Access,Password reset required,Auto-generated support ticket for dashboard analytics.,2024-04-21,2024-04-28,diana,2024-04-21 21:09:37
289,TCK-M6TWD1X,Low,Resolved,Hardware,Email not syncing,Auto-generated support ticket for dashboard analytics.,2024-04-08,2024-04-18,george,2024-04-08 14:35:52
290,TCK-MXB9YO1,Low,In Progress,Security,Laptop overheating,Auto-generated support ticket for dashboard analytics.,2024-06-01,,bob,2024-06-01 23:13:57
291,TCK-8PAJSSU,Low,Open,Security,Printer not responding,Auto-generated support ticket for dashboard analytics.,2024-12-14,,fatima,2024-12-14 21:15:43
292,TCK-UQO1VSM,Critical,Open,Software,Application timeout error,Auto-generated support ticket for dashboard analytics.,2024-12-31,,henry,2024-12-31 23:39:22
293,TCK-ADO8E7F,Critical,Open,Software,Password reset required,Auto-generated support ticket for dashboard analytics.,2024-12-03,,george,2024-12-03 01:19:57
294,TCK-LQHRRPZ,High,Closed,Security,Password reset required,Auto-generated support ticket for dashboard analytics.,2024-07-12,2024-07-19,george,2024-07-12 07:32:38
295,TCK-LK3E4XY,High,Open,Hardware,Software installation request,Auto-generated support ticket for dashboard analytics.,2024-11-05,,henry,2024-11-05 07:59:33
296,TCK-F9IGFU8,Medium,Open,Network,Application timeout error,Auto-generated support ticket for dashboard analytics.,2024-06-11,,george,2024-06-11 07:23:27
297,TCK-IOGXPBW,Low,In Progress,Network,Email not syncing,Auto-generated support ticket for dashboard analytics.,2024-07-26,,edward,2024-07-26 16:27:35
298,TCK-HVNZH13,Medium,Resolved,Hardware,Network outage on floor 3,Auto-generated support ticket for dashboard analytics.,2024-06-17,2024-06-23,george,2024-06-17 08:32:01
299,TCK-CD5GLQJ,Critical,Closed,Network,Slow system performance,Auto-generated support ticket for dashboard analytics.,2024-06-09,2024-06-13,charlie,2024-06-09 14:24:51
300,TCK-5SXVWVM,High,Resolved,Access,Password reset required,Auto-generated support ticket for dashboard analytics.,2024-03-08,2024-03-11,edward,2024-03-08 07:57:31
301,TCK-4W3ZKWD,Critical,Resolved,Security,Printer not responding,Auto-generated support ticket for dashboard analytics.,2024-10-15,2024-10-24,george,2024-10-15 11:08:27
302,TCK-EEKGYSP,Critical,Resolved,Security,Slow system performance,Auto-generated support ticket for dashboard analytics.,2024-10-03,2024-10-11,irene,2024-10-03 15:28:28
303,TCK-ENGWYX9,High,Open,Hardware,Application timeout error,Auto-generated support ticket for dashboard analytics.,2024-10-30,,bob,2024-10-30 13:43:45
304,TCK-TRFLQBM,High,Closed,Network,Slow system performance,Auto-generated support ticket for dashboard analytics.,2024-05-14,2024-05-16,diana,2024-05-14 20:48:10
305,TCK-AE38SRY,Low,Resolved,Software,Laptop overheating,Auto-generated support ticket for dashboard analytics.,2024-07-13,2024-07-26,george,2024-07-13 05:43:25
306,TCK-O4RCB1K,Low,Resolved,Software,Password reset required,Auto-generated support ticket for dashboard analytics.,2024-05-07,2024-05-08,alice,2024-05-07 13:37:14
307,TCK-JTGQ01T,Medium,Resolved,Network,Slow system performance,Auto-generated support ticket for dashboard analytics.,2024-02-02,2024-02-16,bob,2024-02-02 09:16:01
308,TCK-EE13N3B,Medium,Resolved,Software,Network outage on floor 3,Auto-generated support ticket for dashboard analytics.,2024-06-24,2024-06-26,irene,2024-06-24 20:02:41
309,TCK-ZT9D31K,Low,Resolved,Hardware,Network outage on floor 3,Auto-generated support ticket for dashboard analytics.,2024-01-22,2024-01-25,george,2024-01-22 03:05:09
310,TCK-9QM3P91,High,Closed,Hardware,Password reset required,Auto-generated support ticket for dashboard analytics.,2024-08-25,2024-09-05,george,2024-08-25 04:53:26
311,TCK-I3VMZWF,High,Closed,Network,VPN access failure,Auto-generated support ticket for dashboard analytics.,2024-06-06,2024-06-09,fatima,2024-06-06 03:03:33
312,TCK-FHHCMKT,Low,Resolved,Software,Network outage on floor 3,Auto-generated support ticket for dashboard analytics.,2024-02-07,2024-02-20,charlie,2024-02-07 10:44:32
313,TCK-LZKJ49Y,Critical,Resolved,Hardware,Slow system performance,Auto-generated support ticket for dashboard analytics.,2024-08-17,2024-08-28,charlie,2024-08-17 16:11:02
314,TCK-D82795E,Medium,Open,Hardware,System crash on login,Auto-generated support ticket for dashboard analytics.,2024-12-30,,bob,2024-12-30 18:53:22
315,TCK-5IZ31YR,Medium,Resolved,Access,Network outage on floor 3,Auto-generated support ticket for dashboard analytics.,2024-02-20,2024-02-27,fatima,2024-02-20 12:48:01
316,TCK-UJOQW5D,High,Open,Access,Application timeout error,Auto-generated support ticket for dashboard analytics.,2024-09-20,,diana,2024-09-20 08:22:49
317,TCK-SK7N8LA,High,Resolved,Hardware,VPN access failure,Auto-generated support ticket for dashboard analytics.,2024-10-09,2024-10-19,edward,2024-10-09 21:15:41
318,TCK-100QXMC,Low,Closed,Network,Slow system performance,Auto-generated support ticket for dashboard analytics.,2024-01-27,2024-01-29,charlie,2024-01-27 01:29:52
319,TCK-THPHJ3M,Critical,Resolved,Security,Email not syncing,Auto-generated support ticket for dashboard analytics.,2024-08-13,2024-08-20,fatima,2024-08-13 16:56:21
320,TCK-UURMYBD,High,In Progress,Security,Software installation request,Auto-generated support ticket for dashboard analytics.,2024-10-03,,charlie,2024-10-03 18:39:03
321,TCK-2QE4PA8,Medium,In Progress,Hardware,Email not syncing,Auto-generated support ticket for dashboard analytics.,2024-10-12,,henry,2024-10-12 22:36:52
322,TCK-HYEXF7J,Medium,Open,Hardware,Laptop overheating,Auto-generated support ticket for dashboard analytics.,2024-04-06,,irene,2024-04-06 12:14:49
323,TCK-XJN6FOK,High,Resolved,Hardware,Software installation request,Auto-generated support ticket for dashboard analytics.,2024-10-10,2024-10-17,diana,2024-10-10 15:30:50
324,TCK-ZIXZARE,Low,Open,Network,Laptop overheating,Auto-generated support ticket for dashboard analytics.,2024-11-12,,irene,2024-11-12 16:25:33
325,TCK-IYAZ39P,Medium,Open,Access,Software installation request,Auto-generated support ticket for dashboard analytics.,2024-10-30,,george,2024-10-30 17:01:22
326,TCK-ECN0DL5,Low,In Progress,Hardware,Software installation request,Auto-generated support ticket for dashboard analytics.,2024-05-26,,charlie,2024-05-26 15:44:49
327,TCK-E11E9FT,Low,Resolved,Hardware,System crash on login,Auto-generated support ticket for dashboard analytics.,2024-01-04,2024-01-14,george,2024-01-04 14:53:22
328,TCK-AXP0WFO,Medium,Resolved,Software,Printer not responding,Auto-generated support ticket for dashboard analytics.,2024-02-04,2024-02-12,alice,2024-02-04 13:22:50
329,TCK-Y4DD1VN,Medium,Open,Network,Application timeout error,Auto-generated support ticket for dashboard analytics.,2024-07-10,,charlie,2024-07-10 18:06:53
330,TCK-8LFJDTV,Low,In Progress,Hardware,Email not syncing,Auto-generated support ticket for dashboard analytics.,2024-02-18,,fatima,2024-02-18 11:32:32
331,TCK-V2Y4XKS,High,Resolved,Software,Network outage on floor 3,Auto-generated support ticket for dashboard analytics.,2024-01-17,2024-01-26,diana,2024-01-17 09:56:25
332,TCK-S0KB68R,Medium,Resolved,Security,Slow system performance,Auto-generated support ticket for dashboard analytics.,2024-06-20,2024-06-25,george,2024-06-20 13:55:18
333,TCK-ERVT997,High,Resolved,Hardware,VPN access failure,Auto-generated support ticket for dashboard analytics.,2024-08-07,2024-08-16,charlie,2024-08-07 00:53:59
334,TCK-E4UNY18,High,In Progress,Hardware,Application timeout error,Auto-generated support ticket for dashboard analytics.,2024-06-06,,alice,2024-06-06 06:32:16
335,TCK-1ACJBC2,High,Resolved,Software,Laptop overheating,Auto-generated support ticket for dashboard analytics.,2024-02-15,2024-02-29,irene,2024-02-15 16:04:52
336,TCK-SWSOZCT,Low,In Progress,Network,System crash on login,Auto-generated support ticket for dashboard analytics.,2024-01-06,,fatima,2024-01-06 08:30:43
337,TCK-WJLSH3T,Low,Closed,Hardware,Laptop overheating,Auto-generated support ticket for dashboard analytics.,2024-04-08,2024-04-09,henry,2024-04-08 09:40:15
338,TCK-OW4YCZ0,High,Resolved,Security,Printer not responding,Auto-generated support ticket for dashboard analytics.,2024-08-20,2024-08-31,charlie,2024-08-20 23:29:47
339,TCK-4CDPQVL,Critical,In Progress,Hardware,VPN access failure,Auto-generated support ticket for dashboard analytics.,2024-02-06,,henry,2024-02-06 02:45:46
340,TCK-00EZZF8,Medium,In Progress,Security,System crash on login,Auto-generated support ticket for dashboard analytics.,2024-10-06,,bob,2024-10-06 13:04:27
341,TCK-S2ZGE2J,Medium,Resolved,Access,Laptop overheating,Auto-generated support ticket for dashboard analytics.,2024-12-14,2024-12-26,diana,2024-12-14 03:00:02
342,TCK-51B3JCZ,Critical,Resolved,Access,Printer not responding,Auto-generated support ticket for dashboard analytics.,2024-10-28,2024-10-30,charlie,2024-10-28 10:43:23
343,TCK-UCQMRUN,Medium,Resolved,Security,Slow system performance,Auto-generated support ticket for dashboard analytics.,2024-06-29,2024-07-10,alice,2024-06-29 18:16:07
344,TCK-JDU0ISB,Medium,Resolved,Network,Slow system performance,Auto-generated support ticket for dashboard analytics.,2024-04-04,2024-04-13,george,2024-04-04 18:40:12
345,TCK-5IQNF74,Low,Resolved,Hardware,Laptop overheating,Auto-generated support ticket for dashboard analytics.,2024-04-08,2024-04-21,bob,2024-04-08 19:54:10
346,TCK-T60PLOZ,High,Resolved,Hardware,Application timeout error,Auto-generated support ticket for dashboard analytics.,2024-07-06,2024-07-11,diana,2024-07-06 23:26:05
347,TCK-JCNS6G2,Medium,In Progress,Access,VPN access failure,Auto-generated support ticket for dashboard analytics.,2024-04-25,,irene,2024-04-25 02:50:44
348,TCK-98CQK4L,Medium,Closed,Security,Password reset required,Auto-generated support ticket for dashboard analytics.,2024-07-09,2024-07-22,fatima,2024-07-09 10:03:51
349,TCK-TAHUKWQ,Low,In Progress,Hardware,Application timeout error,Auto-generated support ticket for dashboard analytics.,2024-09-09,,henry,2024-09-09 08:17:30
350,TCK-VR1H61I,Medium,In Progress,Hardware,Slow system performance,Auto-generated support ticket for dashboard analytics.,2024-06-09,,bob,2024-06-09 03:34:58
351,TCK-AOIM458,Medium,Closed,Network,VPN access failure,Auto-generated support ticket for dashboard analytics.,2024-09-12,2024-09-23,george,2024-09-12 04:19:03
